hashtag,unique_tweets_per_hour,retweets_per_hour,views_per_hour
cilantro,4,0,3746
cinnamon,8,0,500
citron,0,4,0
clam,4,0,67
cloves,0,4,0
cobbler,0,4,0
coconut,0,4,0
coleslaw,4,0,1175
comestibles,4,0,67121
cornflakes,0,4,0
cornmeal,4,0,2546
crab,0,4,0
crackers,0,4,0
cream,0,12,0
crepe,4,0,17250
crisp,4,0,11750
crunch,4,0,1454
crust,4,0,171
cucumber,4,0,4
cupboard,4,0,246
curds,4,0,267
currants,4,0,496
custard,4,0,2058
daikon,0,4,0
dates,4,0,4
digest,0,4,0
dill,4,0,139758
dine,4,0,83
dip,4,0,671
dough,0,4,0
doughnut,0,50,0
dragonfruit,4,0,875
dried,0,4,0
dry,4,0,10608
durian,4,0,0
edible,4,0,3733
egg,0,4,0
eggplant,0,4,0
endive,0,4,0
entree,4,0,50
feast,4,0,158
fennel,0,4,0
fillet,4,0,1175
flan,0,4,0
flax,4,0,1292
foodstuffs,0,4,0
fork,4,0,2429
freezer,0,4,0
fried,4,0,6817
fritter,4,0,6758
frosting,4,0,6175
fry,4,0,217
gelatin,4,0,104000
glasses,0,4,0
granola,0,4,0
grapefruit,4,0,642
gravy,0,4,0
grub,4,0,3821
guava,4,0,0
gyro,4,0,0
halibut,4,0,8946
hazelnut,4,0,17858
honeydew,0,4,0
horseradish,4,0,46483
hummus,4,0,2279
icing,4,0,2833
jackfruit,4,0,18204
jalapeño,0,4,0
jellybeans,0,4,0
jicama,4,0,0
jimmies,4,0,838
jug,4,0,4704
julienne,4,0,8
ketchup,4,0,92
kettle,0,4,0
kiwi,0,4,0
kohlrabi,4,0,17062
kumquat,4,0,438
ladle,0,4,0
lard,0,4,0
lasagna,0,4,0
legumes,4,0,0
lemonade,0,75,0
lentils,4,0,312
licorice,0,4,0
liver,4,0,2121
loaf,4,0,412
lollipop,0,4,0
loquat,0,4,0
lox,0,4,0
lunchmeat,4,0,5250
lychee,4,0,33
macaroni,4,0,3992
maize,0,4,0
margarine,4,0,5600
marionberry,4,0,18454
marmalade,4,0,1688
marshmallow,4,0,5058
mayonnaise,0,4,0
meatball,4,0,112
meatloaf,4,0,316054
meringue,0,4,0
micronutrient,0,4,0
milkshake,0,4,0
mincemeat,0,4,0
mints,4,0,7938
molasses,4,0,1038
muffin,4,0,79762
munch,0,4,0
mussels,4,0,658
mustard,0,4,0
mutton,4,0,262
nectar,0,4,0
nectarine,4,0,16379
nibble,0,4,0
noodles,0,4,0
nosh,0,42,0
nourish,0,4,0
nourishment,4,0,22821
nut,0,17,0
nutrient,4,0,262
nutritious,0,4,0
okra,4,0,21
oleo,0,4,0
omelet,4,0,62
omnivore,4,0,29238
onion,4,0,29
oregano,0,4,0
oven,4,0,238
oyster,0,4,0
pancake,0,12,0
parsley,4,0,1833
parsnip,4,0,30779
pate,4,0,4929
peach,0,4,0
peanut,0,4,0
pear,4,0,612
pecan,4,0,6562
pepperoni,0,4,0
persimmon,0,4,0
pickle,4,0,708
picnic,0,8,0
pilaf,0,4,0
platter,4,0,242
plum,0,4,0
poached,4,0,3746
pomelo,4,0,4
popovers,0,4,0
popsicle,4,0,767
preserves,0,4,0
pretzel,0,4,0
provisions,4,0,0
prune,4,0,21575
pudding,0,8,0
pumpernickel,4,0,683
punch,0,8,0
quiche,4,0,242
quinoa,4,0,3746
radish,0,4,0
raisin,0,4,0
raspberry,0,4,0
rations,0,4,0
ravioli,0,4,0
refreshments,4,0,888
refrigerator,4,0,58
relish,4,0,39188
rhubarb,4,0,33
roast,4,0,17
roll,0,12,0
romaine,0,4,0
rye,4,0,12562
sage,0,12,0
salami,4,0,51592
sauerkraut,4,0,17088
sausage,4,0,17
savory,4,0,279
scrambled,4,0,204
seaweed,0,4,0
shallots,4,0,14721
sherbet,4,0,0
slice,4,0,15508
smoked,0,4,0
sole,0,4,0
sorbet,4,0,54
sorghum,4,0,7021
sorrel,0,4,0
sour,0,4,0
soy,0,8,0
spaghetti,4,0,158
spareribs,4,0,2450
spatula,4,0,3267
spicy,0,4,0
spork,4,0,6521
sprouts,4,0,2004
spuds,4,0,262
squash,4,0,338
squid,0,4,0
stew,0,4,0
stomach,0,4,0
stove,0,4,0
straw,4,0,7958
strawberry,0,4,0
strudel,0,4,0
succotash,4,0,12054
suet,0,4,0
sundae,4,0,54
sunflower,0,4,0
supper,0,4,0
sustenance,4,0,4
tangerine,4,0,1304
tapioca,4,0,1354
taro,0,4,0
tarragon,4,0,529
tart,0,4,0
teapot,0,4,0
teriyaki,0,4,0
thyme,4,0,1008
toaster,4,0,746
toffee,4,0,779
tomatillo,0,4,0
tomato,0,4,0
torte,4,0,183
tuber,8,0,912
turnip,4,0,4108
utensils,4,0,925
vanilla,4,0,5338
veal,4,0,3146
venison,4,0,2942
vinegar,4,0,3600
wafer,4,0,288
waffle,4,0,75
walnut,4,0,9021
watercress,4,0,642
watermelon,4,0,8
whey,4,0,8062
wok,0,4,0
yolk,0,4,0
zucchini,4,0,4488
